Model: deeplabv3
resnet_v1_50/conv1/weights:0,7,7,3,64,9408
resnet_v1_50/conv1/BatchNorm/gamma:0,64,64
resnet_v1_50/conv1/BatchNorm/beta:0,64,64
resnet_v1_50/block1/unit_1/bottleneck_v1/shortcut/weights:0,1,1,64,256,16384
resnet_v1_50/block1/unit_1/bottleneck_v1/shortcut/BatchNorm/gamma:0,256,256
resnet_v1_50/block1/unit_1/bottleneck_v1/shortcut/BatchNorm/beta:0,256,256
resnet_v1_50/block1/unit_1/bottleneck_v1/conv1/weights:0,1,1,64,64,4096
resnet_v1_50/block1/unit_1/bottleneck_v1/conv1/BatchNorm/gamma:0,64,64
resnet_v1_50/block1/unit_1/bottleneck_v1/conv1/BatchNorm/beta:0,64,64
resnet_v1_50/block1/unit_1/bottleneck_v1/conv2/weights:0,3,3,64,64,36864
resnet_v1_50/block1/unit_1/bottleneck_v1/conv2/BatchNorm/gamma:0,64,64
resnet_v1_50/block1/unit_1/bottleneck_v1/conv2/BatchNorm/beta:0,64,64
resnet_v1_50/block1/unit_1/bottleneck_v1/conv3/weights:0,1,1,64,256,16384
resnet_v1_50/block1/unit_1/bottleneck_v1/conv3/BatchNorm/gamma:0,256,256
resnet_v1_50/block1/unit_1/bottleneck_v1/conv3/BatchNorm/beta:0,256,256
resnet_v1_50/block1/unit_2/bottleneck_v1/conv1/weights:0,1,1,256,64,16384
resnet_v1_50/block1/unit_2/bottleneck_v1/conv1/BatchNorm/gamma:0,64,64
resnet_v1_50/block1/unit_2/bottleneck_v1/conv1/BatchNorm/beta:0,64,64
resnet_v1_50/block1/unit_2/bottleneck_v1/conv2/weights:0,3,3,64,64,36864
resnet_v1_50/block1/unit_2/bottleneck_v1/conv2/BatchNorm/gamma:0,64,64
resnet_v1_50/block1/unit_2/bottleneck_v1/conv2/BatchNorm/beta:0,64,64
resnet_v1_50/block1/unit_2/bottleneck_v1/conv3/weights:0,1,1,64,256,16384
resnet_v1_50/block1/unit_2/bottleneck_v1/conv3/BatchNorm/gamma:0,256,256
resnet_v1_50/block1/unit_2/bottleneck_v1/conv3/BatchNorm/beta:0,256,256
resnet_v1_50/block1/unit_3/bottleneck_v1/conv1/weights:0,1,1,256,64,16384
resnet_v1_50/block1/unit_3/bottleneck_v1/conv1/BatchNorm/gamma:0,64,64
resnet_v1_50/block1/unit_3/bottleneck_v1/conv1/BatchNorm/beta:0,64,64
