Model: deeplabv3
resnet_v1_50/conv1,1,256,256,64,4194304
resnet_v1_50/block1/unit_1/bottleneck_v1/shortcut,1,128,128,256,4194304
resnet_v1_50/block1/unit_1/bottleneck_v1/conv1,1,128,128,64,1048576
resnet_v1_50/block1/unit_1/bottleneck_v1/conv2,1,128,128,64,1048576
resnet_v1_50/block1/unit_1/bottleneck_v1/conv3,1,128,128,256,4194304
resnet_v1_50/block1/unit_1/bottleneck_v1,1,128,128,256,4194304
resnet_v1_50/block1/unit_2/bottleneck_v1/conv1,1,128,128,64,1048576
resnet_v1_50/block1/unit_2/bottleneck_v1/conv2,1,128,128,64,1048576
resnet_v1_50/block1/unit_2/bottleneck_v1/conv3,1,128,128,256,4194304
resnet_v1_50/block1/unit_2/bottleneck_v1,1,128,128,256,4194304
resnet_v1_50/block1/unit_3/bottleneck_v1/conv1,1,128,128,64,1048576
resnet_v1_50/block1/unit_3/bottleneck_v1/conv2,1,64,64,64,262144
resnet_v1_50/block1/unit_3/bottleneck_v1/conv3,1,64,64,256,1048576
resnet_v1_50/block1/unit_3/bottleneck_v1,1,64,64,256,1048576
resnet_v1_50/block1,1,64,64,256,1048576
resnet_v1_50/block2/unit_1/bottleneck_v1/shortcut,1,64,64,512,2097152
resnet_v1_50/block2/unit_1/bottleneck_v1/conv1,1,64,64,128,524288
resnet_v1_50/block2/unit_1/bottleneck_v1/conv2,1,64,64,128,524288
resnet_v1_50/block2/unit_1/bottleneck_v1/conv3,1,64,64,512,2097152
resnet_v1_50/block2/unit_1/bottleneck_v1,1,64,64,512,2097152
resnet_v1_50/block2/unit_2/bottleneck_v1/conv1,1,64,64,128,524288
resnet_v1_50/block2/unit_2/bottleneck_v1/conv2,1,64,64,128,524288
resnet_v1_50/block2/unit_2/bottleneck_v1/conv3,1,64,64,512,2097152
resnet_v1_50/block2/unit_2/bottleneck_v1,1,64,64,512,2097152
resnet_v1_50/block2/unit_3/bottleneck_v1/conv1,1,64,64,128,524288
resnet_v1_50/block2/unit_3/bottleneck_v1/conv2,1,64,64,128,524288
resnet_v1_50/block2/unit_3/bottleneck_v1/conv3,1,64,64,512,2097152
resnet_v1_50/block2/unit_3/bottleneck_v1,1,64,64,512,2097152
resnet_v1_50/block2/unit_4/bottleneck_v1/conv1,1,64,64,128,524288
resnet_v1_50/block2/unit_4/bottleneck_v1/conv2,1,32,32,128,131072
resnet_v1_50/block2/unit_4/bottleneck_v1/conv3,1,32,32,512,524288
resnet_v1_50/block2/unit_4/bottleneck_v1,1,32,32,512,524288
resnet_v1_50/block2,1,32,32,512,524288
resnet_v1_50/block3/unit_1/bottleneck_v1/shortcut,1,32,32,1024,1048576
resnet_v1_50/block3/unit_1/bottleneck_v1/conv1,1,32,32,256,262144
resnet_v1_50/block3/unit_1/bottleneck_v1/conv2,1,32,32,256,262144
resnet_v1_50/block3/unit_1/bottleneck_v1/conv3,1,32,32,1024,1048576
resnet_v1_50/block3/unit_1/bottleneck_v1,1,32,32,1024,1048576
resnet_v1_50/block3/unit_2/bottleneck_v1/conv1,1,32,32,256,262144
resnet_v1_50/block3/unit_2/bottleneck_v1/conv2,1,32,32,256,262144
resnet_v1_50/block3/unit_2/bottleneck_v1/conv3,1,32,32,1024,1048576
resnet_v1_50/block3/unit_2/bottleneck_v1,1,32,32,1024,1048576
resnet_v1_50/block3/unit_3/bottleneck_v1/conv1,1,32,32,256,262144
resnet_v1_50/block3/unit_3/bottleneck_v1/conv2,1,32,32,256,262144
resnet_v1_50/block3/unit_3/bottleneck_v1/conv3,1,32,32,1024,1048576
resnet_v1_50/block3/unit_3/bottleneck_v1,1,32,32,1024,1048576
resnet_v1_50/block3/unit_4/bottleneck_v1/conv1,1,32,32,256,262144
resnet_v1_50/block3/unit_4/bottleneck_v1/conv2,1,32,32,256,262144
resnet_v1_50/block3/unit_4/bottleneck_v1/conv3,1,32,32,1024,1048576
resnet_v1_50/block3/unit_4/bottleneck_v1,1,32,32,1024,1048576
resnet_v1_50/block3/unit_5/bottleneck_v1/conv1,1,32,32,256,262144
resnet_v1_50/block3/unit_5/bottleneck_v1/conv2,1,32,32,256,262144
resnet_v1_50/block3/unit_5/bottleneck_v1/conv3,1,32,32,1024,1048576
resnet_v1_50/block3/unit_5/bottleneck_v1,1,32,32,1024,1048576
resnet_v1_50/block3/unit_6/bottleneck_v1/conv1,1,32,32,256,262144
resnet_v1_50/block3/unit_6/bottleneck_v1/conv2,1,32,32,256,262144
resnet_v1_50/block3/unit_6/bottleneck_v1/conv3,1,32,32,1024,1048576
resnet_v1_50/block3/unit_6/bottleneck_v1,1,32,32,1024,1048576
resnet_v1_50/block3,1,32,32,1024,1048576
resnet_v1_50/block4/unit_1/bottleneck_v1/shortcut,1,32,32,2048,2097152
resnet_v1_50/block4/unit_1/bottleneck_v1/conv1,1,32,32,512,524288
resnet_v1_50/block4/unit_1/bottleneck_v1/conv2,1,32,32,512,524288
resnet_v1_50/block4/unit_1/bottleneck_v1/conv3,1,32,32,2048,2097152
