Model: DeeplabV3
resnet_v1_50/block3/unit_6/bottleneck_v1/conv1/BatchNorm/gamma:0,256
resnet_v1_50/block3/unit_6/bottleneck_v1/conv1/BatchNorm/beta:0,256
resnet_v1_50/block3/unit_6/bottleneck_v1/conv2/weights:0,3,3,256,256
resnet_v1_50/block3/unit_6/bottleneck_v1/conv2/BatchNorm/gamma:0,256
resnet_v1_50/block3/unit_6/bottleneck_v1/conv2/BatchNorm/beta:0,256
resnet_v1_50/block3/unit_6/bottleneck_v1/conv3/weights:0,1,1,256,1024
resnet_v1_50/block3/unit_6/bottleneck_v1/conv3/BatchNorm/gamma:0,1024
resnet_v1_50/block3/unit_6/bottleneck_v1/conv3/BatchNorm/beta:0,1024
resnet_v1_50/block4/unit_1/bottleneck_v1/shortcut/weights:0,1,1,1024,2048
resnet_v1_50/block4/unit_1/bottleneck_v1/shortcut/BatchNorm/gamma:0,2048
resnet_v1_50/block4/unit_1/bottleneck_v1/shortcut/BatchNorm/beta:0,2048
resnet_v1_50/block4/unit_1/bottleneck_v1/conv1/weights:0,1,1,1024,512
resnet_v1_50/block4/unit_1/bottleneck_v1/conv1/BatchNorm/gamma:0,512
resnet_v1_50/block4/unit_1/bottleneck_v1/conv1/BatchNorm/beta:0,512
resnet_v1_50/block4/unit_1/bottleneck_v1/conv2/weights:0,3,3,512,512
resnet_v1_50/block4/unit_1/bottleneck_v1/conv2/BatchNorm/gamma:0,512
resnet_v1_50/block4/unit_1/bottleneck_v1/conv2/BatchNorm/beta:0,512
resnet_v1_50/block4/unit_1/bottleneck_v1/conv3/weights:0,1,1,512,2048
resnet_v1_50/block4/unit_1/bottleneck_v1/conv3/BatchNorm/gamma:0,2048
resnet_v1_50/block4/unit_1/bottleneck_v1/conv3/BatchNorm/beta:0,2048
resnet_v1_50/block4/unit_2/bottleneck_v1/conv1/weights:0,1,1,2048,512
resnet_v1_50/block4/unit_2/bottleneck_v1/conv1/BatchNorm/gamma:0,512
resnet_v1_50/block4/unit_2/bottleneck_v1/conv1/BatchNorm/beta:0,512
resnet_v1_50/block4/unit_2/bottleneck_v1/conv2/weights:0,3,3,512,512
resnet_v1_50/block4/unit_2/bottleneck_v1/conv2/BatchNorm/gamma:0,512
resnet_v1_50/block4/unit_2/bottleneck_v1/conv2/BatchNorm/beta:0,512
resnet_v1_50/block4/unit_2/bottleneck_v1/conv3/weights:0,1,1,512,2048
resnet_v1_50/block4/unit_2/bottleneck_v1/conv3/BatchNorm/gamma:0,2048
resnet_v1_50/block4/unit_2/bottleneck_v1/conv3/BatchNorm/beta:0,2048
resnet_v1_50/block4/unit_3/bottleneck_v1/conv1/weights:0,1,1,2048,512
resnet_v1_50/block4/unit_3/bottleneck_v1/conv1/BatchNorm/gamma:0,512
resnet_v1_50/block4/unit_3/bottleneck_v1/conv1/BatchNorm/beta:0,512
resnet_v1_50/block4/unit_3/bottleneck_v1/conv2/weights:0,3,3,512,512
resnet_v1_50/block4/unit_3/bottleneck_v1/conv2/BatchNorm/gamma:0,512
resnet_v1_50/block4/unit_3/bottleneck_v1/conv2/BatchNorm/beta:0,512
resnet_v1_50/block4/unit_3/bottleneck_v1/conv3/weights:0,1,1,512,2048
resnet_v1_50/block4/unit_3/bottleneck_v1/conv3/BatchNorm/gamma:0,2048
resnet_v1_50/block4/unit_3/bottleneck_v1/conv3/BatchNorm/beta:0,2048
resnet_v1_50/aspp/1x1conv/weights:0,1,1,2048,256
resnet_v1_50/aspp/1x1conv/BatchNorm/gamma:0,256
resnet_v1_50/aspp/1x1conv/BatchNorm/beta:0,256
resnet_v1_50/aspp/rate6/weights:0,3,3,2048,256
resnet_v1_50/aspp/rate6/BatchNorm/gamma:0,256
resnet_v1_50/aspp/rate6/BatchNorm/beta:0,256
resnet_v1_50/aspp/rate12/weights:0,3,3,2048,256
resnet_v1_50/aspp/rate12/BatchNorm/gamma:0,256
resnet_v1_50/aspp/rate12/BatchNorm/beta:0,256
resnet_v1_50/aspp/rate18/weights:0,3,3,2048,256
resnet_v1_50/aspp/rate18/BatchNorm/gamma:0,256
resnet_v1_50/aspp/rate18/BatchNorm/beta:0,256
resnet_v1_50/img_pool/1x1conv/weights:0,1,1,2048,256
resnet_v1_50/img_pool/1x1conv/BatchNorm/gamma:0,256
resnet_v1_50/img_pool/1x1conv/BatchNorm/beta:0,256
resnet_v1_50/fusion/1x1conv/weights:0,1,1,1280,256
resnet_v1_50/fusion/1x1conv/BatchNorm/gamma:0,256
resnet_v1_50/fusion/1x1conv/BatchNorm/beta:0,256
resnet_v1_50/logits/Conv/weights:0,1,1,256,21
resnet_v1_50/logits/Conv/biases:0,21
